,section,row,price,quantity
0,Balcony End 311,9,65.0,1
1,BALCONY END 309,13,66.5,2
2,Balcony End 307,13,66.66,2
3,Balcony End 323,11,67.0,1
4,Balcony End 309,14,68.0,3
5,BAL312,12,68.0,2
6,Balcony End 311,10,68.89,4
7,Balcony End 308,13,69.0,2
8,Balcony End 309,13,69.0,2
9,Balcony End 313,11,69.0,2
10,Balcony End 312,9,69.0,2
11,Balcony End 307,8AISL,69.69,1
12,Balcony End 309,12,69.98,2
13,314,12,69.98,2
14,BALCONY END 309,10,69.99,5
15,BALCONY END 308,12,69.99,4
16,Balcony Side 329,12,70.0,2
17,Balcony End 313,8,70.0,2
18,Balcony End 305,14,70.0,2
19,Balcony End 305,9,70.0,2
20,Balcony End 304,15,70.0,3
21,Balcony End 304,11,70.0,4
22,Balcony End 309,15,71.0,2
23,Balcony End 312,11,72.0,1
24,Balcony End 325,14,72.0,2
25,Balcony End 324,12,72.0,1
26,Balcony Side 314,13,72.0,2
27,Balcony Side 318,13,73.0,2
28,Balcony Side 314,12,73.0,2
29,311,8,73.2,3
30,307,7,73.2,3
31,Balcony End 309,12,73.99,4
32,Balcony End 308,15,74.0,1
33,Balcony End 310,9,74.0,2
34,Balcony End 312,13,74.5,2
35,314,14,74.98,3
36,BALCONY END 304,13,74.99,3
37,BALCONY END 309,14,74.99,14
38,BALCONY END 313,13,74.99,4
39,Balcony End 312,8,75.0,4
40,Balcony End 312,10,75.0,2
41,Balcony End 304,12,75.0,2
42,BAL308,10,75.0,2
43,BAL324,7,75.0,2
44,BAL305,11,75.0,2
45,Balcony Side 302,15,75.0,3
46,Balcony End 309,12,75.0,3
47,Balcony End 312,8,75.0,2
48,Balcony End 309,10,75.0,2
49,Balcony End 310,7,75.0,3
50,Balcony End 322,9,75.0,2
51,Balcony End 308,8,75.0,3
52,Balcony End 311,11,75.0,2
53,309,9,75.18,10
54,BALCONY SIDE 318,11,75.49,4
55,Balcony Side 318,12,75.5,5
56,BAL308,11,75.99,4
57,Balcony Side 314,15,76.5,2
58,BAL309,11,76.88,2
59,Balcony Side 314,9,76.89,3
60,BAL312,14,76.99,3
61,Balcony Side 314,13,77.0,2
62,315,12,77.0,6
63,313,12,77.0,2
64,BAL325,11,77.74,3
65,Balcony Side 329,12,77.76,4
66,BAL323,13,78.0,6
67,Balcony End 304,12,78.0,4
68,328,13,78.0,2
69,Balcony Side 329,10,78.0,2
70,BAL310,11,78.75,2
71,Balcony Side 329,14,79.0,2
72,329,11,79.0,2
73,Balcony End 322,14,79.0,2
74,Balcony End 319,6,79.0,2
75,Balcony End 319,9,79.3,2
76,Balcony End 311,15,79.89,2
77,Balcony Side 318,12,79.99,2
78,302,12,80.0,17
79,Balcony End 322,14,80.0,4
80,Balcony Side 329,13,80.0,2
81,Balcony End 311,15,80.0,2
82,Balcony End 306,10,80.0,2
83,Balcony End 309,15,80.0,2
84,Balcony End 313,9,80.0,2
85,312,15,80.0,3
86,BAL310,10,80.63,11
87,323,9,81.0,4
88,BAL319,13,81.6,2
89,308,10,82.0,2
90,328,11,82.0,4
91,Balcony Side 315,13,82.0,2
92,BAL309,14,82.47,1
93,BAL310,9,82.5,4
94,BAL305,15,83.0,2
95,BAL310,13,83.1,9
96,315,14,84.0,8
97,314,13,84.0,2
98,325,11,84.0,19
99,BAL325,9,84.38,4
100,Balcony End 308,10,85.0,2
101,Balcony End 321,9,85.0,1
102,BAL322,7,85.0,3
103,BAL323,10,85.0,2
104,Balcony End 305,8,85.0,2
105,Balcony End 305,8,85.0,2
106,329,13,85.0,3
107,Balcony End 328,12,85.0,2
108,BAL328,13,86.0,4
109,321,4,86.0,2
110,Balcony Side 303,14,86.0,2
111,BAL309,9,86.25,7
112,BAL326,10,87.0,2
113,309,11,87.0,4
114,Balcony End 306,13,87.0,2
115,306,11,88.0,4
